UniqueMemberRef,MemberName,FirstName,LastName,Gender,DateOfBirth,YearOfBirth,Postcode,NHSNumber,ClientName,ClientIdentifier,SchemeCategory,SchemeIdentifier,Plan,Product,RegistrationStatus,JoinDate,LapseDate,ContractStartDate,ContractEndDate,LengthOfServiceYears
UM0000583,Mia Wilson,Mia,Wilson,Female,1978-12-15,1978,SE1 9ON,9674471445,Acme Corp,C3488,Family,S96296,Executive,Executive,Active,2018-11-10,,2018-01-24,2025-03-23,6
UM0000584,George Thompson,George,Thompson,Male,1968-01-27,1968,HA1 2FJ,4854456324,Healthcare Co,C9968,Family,S56456,Gold,Enhanced,Active,2019-08-11,,2019-05-31,2021-06-18,6
UM0000585,Noah Evans,Noah,Evans,Male,1984-02-17,1984,KT1 5PJ,6402896726,Acme Corp,C2251,Corporate,S93137,Standard,Executive,Active,2023-10-31,,2023-06-26,2029-04-27,2
UM0000586,Harry Wilson,Harry,Wilson,Male,1986-11-19,1986,LS1 2VR,7281200100,GlobalHealth Ltd,C9133,Family,S15107,Silver,Enhanced,Active,2015-06-18,,2014-10-14,2017-01-04,10
UM0000587,Amelia Taylor,Amelia,Taylor,Female,1983-12-12,1983,UB1 7IH,7719279871,BlueShield UK,C4442,Family,S58055,Standard,Standard,Active,2020-11-12,,2020-01-10,2023-09-16,4
UM0000588,Charlotte Evans,Charlotte,Evans,Female,1982-09-03,1982,HA1 0ZC,1889492473,GlobalHealth Ltd,C5601,Family,S52527,Gold,Standard,Active,2010-10-19,,2010-06-26,2013-10-10,15
UM0000589,James Jones,James,Jones,Male,1993-09-08,1993,W1A 7LO,7528647346,Healthcare Co,C5041,Family,S70861,Platinum,Enhanced,Pending,2014-05-16,,2013-06-09,2015-11-12,11
UM0000590,Emily Wright,Emily,Wright,Female,1972-05-27,1972,LS1 4TM,7820656621,Mercer Group,C5412,Family,S62966,Platinum,Standard,Active,2022-07-28,,2022-07-03,2026-02-24,3
UM0000591,Alfie Harris,Alfie,Harris,Male,1962-06-13,1962,NW1 9MD,2580262985,Acme Corp,C2533,Individual,S16166,Standard,Enhanced,Active,2015-03-27,,2014-11-25,2016-12-30,10
UM0000592,Ava Harris,Ava,Harris,Female,1976-12-19,1976,HA1 5MG,3948206354,Mercer Group,C1320,Individual,S45817,Platinum,Standard,Active,2019-03-01,,2018-11-29,2021-06-17,6
UM0000593,Noah Williams,Noah,Williams,Male,1989-04-08,1989,SW1A 1CV,6542867620,Healthcare Co,C5619,Family,S22186,Bronze,Enhanced,Active,2016-06-01,,2016-02-28,2022-07-29,9
UM0000594,Emily Taylor,Emily,Taylor,Female,1992-06-05,1992,HA1 9HS,2146334613,Mercer Group,C6523,Corporate,S50494,Bronze,Enhanced,Active,2020-03-08,,2020-02-14,2023-03-29,5
UM0000595,Isabella Williams,Isabella,Williams,Female,1976-05-05,1976,B1 2WL,5762023155,Mercer Group,C5575,Corporate,S56353,Gold,Standard,Active,2022-03-10,,2021-09-28,2025-10-12,3
UM0000596,Grace Thomas,Grace,Thomas,Female,1982-06-29,1982,N1 0JI,6524169561,GlobalHealth Ltd,C7121,Individual,S68505,Standard,Standard,Active,2023-05-24,,2023-05-10,2031-01-08,2
UM0000597,Lily Smith,Lily,Smith,Female,1976-02-28,1976,BR1 4GV,5709119572,Acme Corp,C6506,Corporate,S97294,Platinum,Enhanced,Active,2021-11-04,,2021-05-14,2031-01-16,3
UM0000598,Isabella Wilson,Isabella,Wilson,Female,1979-02-18,1979,SW3 0OP,8956090581,Acme Corp,C9045,Corporate,S57199,Standard,Executive,Active,2016-10-23,,2016-09-05,2020-04-09,9
UM0000599,Freddie Smith,Freddie,Smith,Male,1984-01-09,1984,SW3 4PU,9889995788,Acme Corp,C7202,Individual,S40626,Gold,Standard,Active,2017-12-07,,2017-10-29,2023-11-28,7
UM0000600,Oscar White,Oscar,White,Male,1986-03-04,1986,UB1 8AJ,3633614397,GlobalHealth Ltd,C4642,Family,S47952,Gold,Enhanced,Active,2019-08-01,,2019-03-24,2024-09-24,6
UM0000601,Ella Jones,Ella,Jones,Female,1971-04-01,1971,SW1A 5QR,5939212419,GlobalHealth Ltd,C5082,Individual,S50311,Bronze,Enhanced,Active,2012-07-11,,2011-11-15,2019-08-26,13
UM0000602,Lily Harris,Lily,Harris,Female,1987-05-20,1987,EC1A 0EB,0045207905,TrustHealth Ltd,C3114,Individual,S75094,Gold,Standard,Active,2016-12-16,,2016-03-05,2023-02-28,8
UM0000603,Isabella Jones,Isabella,Jones,Female,1988-02-18,1988,EC1A 4AX,2816218606,TrustHealth Ltd,C9721,Corporate,S49018,Silver,Executive,Active,2012-12-08,,2012-09-02,2014-10-09,12
UM0000604,Isla Davies,Isla,Davies,Female,1969-12-05,1969,W2 3YH,3724304836,TrustHealth Ltd,C3921,Family,S91817,Gold,Executive,Active,2018-01-20,,2017-05-24,2026-06-24,7
UM0000605,Isla Davies,Isla,Davies,Female,1992-04-20,1992,BR1 6LF,2514704193,Acme Corp,C3797,Corporate,S54013,Executive,Executive,Active,2012-01-05,,2011-02-27,2018-06-14,13
UM0000606,Freddie Thompson,Freddie,Thompson,Male,1958-09-06,1958,HA1 4VS,6246846808,Acme Corp,C4535,Individual,S40323,Enhanced,Executive,Active,2023-09-20,,2022-12-02,2032-01-31,2
UM0000607,Harry Thomas,Harry,Thomas,Male,1979-01-03,1979,NW1 3TT,1235213597,TrustHealth Ltd,C2234,Individual,S60021,Enhanced,Executive,Lapsed,2016-01-09,2019-01-12,2015-02-01,2020-09-02,9
UM0000608,Isabella Thompson,Isabella,Thompson,Female,1984-09-25,1984,LS1 8HR,0277349791,TrustHealth Ltd,C1485,Corporate,S43891,Platinum,Standard,Active,2018-09-29,,2018-06-06,2021-08-18,7
UM0000609,Arthur White,Arthur,White,Male,2002-04-28,2002,LS1 3VE,3510945356,GlobalHealth Ltd,C9280,Individual,S25224,Executive,Executive,Active,2012-11-21,,2012-03-11,2018-03-16,12
UM0000610,Charlie Thomas,Charlie,Thomas,Male,1969-06-30,1969,B1 6LA,4766878166,BlueShield UK,C7133,Individual,S94246,Executive,Enhanced,Active,2024-02-17,,2023-08-19,2027-07-16,1
UM0000611,Poppy Smith,Poppy,Smith,Female,1991-10-01,1991,SW1A 8BY,0626934861,BlueShield UK,C7205,Family,S63997,Platinum,Executive,Active,2018-12-02,,2018-11-06,2020-03-09,6
UM0000612,Sophie Wilson,Sophie,Wilson,Female,1992-11-11,1992,SW1A 4QZ,7710990752,Acme Corp,C1751,Corporate,S11386,Gold,Enhanced,Active,2019-02-01,,2018-03-16,2027-07-26,6
UM0000613,Noah Wilson,Noah,Wilson,Male,1985-06-03,1985,LS1 0VP,9828131879,Mercer Group,C8127,Family,S65781,Standard,Enhanced,Active,2017-02-17,,2016-04-29,2025-12-25,8
UM0000614,Oliver White,Oliver,White,Male,1963-04-05,1963,EN1 2FM,9444196583,Healthcare Co,C1181,Family,S61745,Bronze,Executive,Active,2011-03-20,,2011-02-16,2019-08-27,14
UM0000615,Poppy Robinson,Poppy,Robinson,Female,1993-01-03,1993,HA1 9KI,1943331402,Healthcare Co,C6857,Family,S64566,Platinum,Enhanced,Active,2022-02-23,,2021-09-20,2025-04-18,3
UM0000616,Charlie Jones,Charlie,Jones,Male,1991-08-09,1991,W1A 5TE,7225373892,Mercer Group,C6385,Corporate,S77038,Standard,Executive,Active,2021-01-21,,2020-06-25,2027-12-18,4
UM0000617,Isla Jones,Isla,Jones,Female,1971-01-10,1971,W2 3LO,7923739153,BlueShield UK,C5104,Family,S55890,Gold,Enhanced,Active,2017-10-08,,2016-12-08,2025-02-05,8
UM0000618,Amelia Williams,Amelia,Williams,Female,1986-04-06,1986,SE1 7SI,6627902989,BlueShield UK,C2936,Individual,S70611,Gold,Executive,Active,2023-05-05,,2022-09-24,2031-05-22,2
UM0000619,Lily Johnson,Lily,Johnson,Female,1987-02-07,1987,W1A 3BT,2500025968,Healthcare Co,C4765,Individual,S22304,Executive,Standard,Active,2015-09-12,,2015-05-04,2018-11-24,10
UM0000620,Arthur Harris,Arthur,Harris,Male,1989-03-21,1989,EC1A 7YW,4067201649,BlueShield UK,C9919,Family,S50062,Platinum,Standard,Active,2014-10-07,,2014-03-07,2019-06-18,11
UM0000621,Jack Brown,Jack,Brown,Male,1976-10-17,1976,M1 5YK,5030443918,TrustHealth Ltd,C1426,Individual,S44968,Silver,Enhanced,Active,2024-01-16,,2024-01-08,2029-10-13,1
UM0000622,Evie Taylor,Evie,Taylor,Female,1980-07-10,1980,EC1A 7OJ,6153663757,Acme Corp,C8018,Corporate,S86009,Bronze,Enhanced,Active,2014-09-21,,2013-11-25,2023-09-06,11
UM0000623,Sophie Thompson,Sophie,Thompson,Female,1992-05-07,1992,SE1 3CU,5898852685,TrustHealth Ltd,C7815,Corporate,S43516,Enhanced,Executive,Active,2014-10-09,,2014-04-17,2017-05-09,11
UM0000624,Alfie Davies,Alfie,Davies,Male,1970-11-11,1970,SW1A 4VP,2530755596,BlueShield UK,C8526,Corporate,S25437,Standard,Standard,Active,2018-11-02,,2017-11-19,2019-01-17,6
UM0000625,Emily Taylor,Emily,Taylor,Female,1980-07-06,1980,KT1 3WW,4481773543,Mercer Group,C4853,Family,S59935,Standard,Executive,Active,2016-08-02,,2015-12-11,2018-03-10,9
UM0000626,James Evans,James,Evans,Male,1970-07-19,1970,HA1 7JE,4471445561,TrustHealth Ltd,C8908,Corporate,S38173,Enhanced,Standard,Active,2016-09-24,,2016-03-10,2017-11-03,9
UM0000627,Charlie Taylor,Charlie,Taylor,Male,1957-12-25,1957,N1 4SJ,4183912096,Healthcare Co,C7044,Corporate,S79839,Silver,Enhanced,Active,2017-04-22,,2016-11-14,2022-10-17,8
UM0000628,Noah Wilson,Noah,Wilson,Male,1980-08-11,1980,EC1A 5LV,2422257918,BlueShield UK,C7295,Individual,S46323,Standard,Standard,Active,2018-09-24,,2018-09-08,2025-07-26,7
UM0000629,William Brown,William,Brown,Male,1997-04-05,1997,W2 7CO,8164076058,Mercer Group,C3463,Family,S80448,Standard,Executive,Active,2024-01-24,,2023-05-24,2027-11-28,1
UM0000630,Arthur Thompson,Arthur,Thompson,Male,1970-01-25,1970,N1 8HE,5967492429,GlobalHealth Ltd,C2092,Individual,S41734,Gold,Executive,Lapsed,2024-02-09,2031-03-05,2023-03-24,2027-09-07,1
UM0000631,Noah Robinson,Noah,Robinson,Male,1980-11-07,1980,E1 5WT,8530539424,Healthcare Co,C3557,Family,S76053,Standard,Executive,Active,2022-09-11,,2022-04-26,2023-05-21,3
UM0000632,James Wright,James,Wright,Male,1981-11-03,1981,UB1 6QP,8548194888,Healthcare Co,C8564,Corporate,S96705,Platinum,Enhanced,Active,2012-09-29,,2012-04-22,2019-10-24,13
UM0000633,Oscar Taylor,Oscar,Taylor,Male,1981-10-24,1981,W1A 5TG,2470611505,Healthcare Co,C3537,Individual,S98474,Standard,Standard,Active,2023-12-05,,2023-03-27,2028-01-03,1
UM0000634,Mia Williams,Mia,Williams,Female,1965-12-13,1965,N1 8LW,4140597534,Mercer Group,C9962,Family,S57332,Enhanced,Enhanced,Active,2022-05-05,,2021-05-14,2027-12-23,3
UM0000635,Thomas Smith,Thomas,Smith,Male,1986-04-16,1986,SE1 8RN,8636180680,Healthcare Co,C7316,Corporate,S73376,Platinum,Standard,Active,2016-09-25,,2015-11-12,2018-09-06,9
UM0000636,Jack Brown,Jack,Brown,Male,1964-04-18,1964,LS1 1FY,3047826312,BlueShield UK,C5537,Individual,S41227,Gold,Enhanced,Active,2014-04-19,,2013-07-22,2017-04-28,11
UM0000637,Ava Smith,Ava,Smith,Female,1971-08-03,1971,SW1A 8LY,5265483893,TrustHealth Ltd,C8697,Family,S24725,Silver,Executive,Active,2017-08-30,,2017-01-14,2019-02-20,8
UM0000638,Evie Jones,Evie,Jones,Female,1982-11-20,1982,UB1 7GT,5556168457,Mercer Group,C5793,Corporate,S10188,Executive,Executive,Active,2017-11-17,,2016-12-30,2025-05-20,7
UM0000639,Oliver Harris,Oliver,Harris,Male,1977-02-15,1977,EN1 7SQ,2476646417,TrustHealth Ltd,C3921,Family,S42722,Executive,Executive,Lapsed,2017-08-29,2021-07-18,2016-08-31,2026-01-24,8
UM0000640,Mia Jones,Mia,Jones,Female,1974-03-08,1974,NW1 3WT,8709970941,Mercer Group,C3809,Corporate,S52338,Standard,Standard,Active,2019-01-01,,2018-07-19,2025-08-22,6
UM0000641,Sophie White,Sophie,White,Female,1992-08-14,1992,B1 2ZU,2022713140,Acme Corp,C1027,Corporate,S30729,Platinum,Executive,Active,2017-11-14,,2017-04-02,2024-12-29,7
UM0000642,Ella Wright,Ella,Wright,Female,1996-01-18,1996,W2 7JD,0691510242,Acme Corp,C6108,Corporate,S10687,Platinum,Enhanced,Active,2013-02-02,,2012-03-24,2017-08-21,12
UM0000643,Isabella Harris,Isabella,Harris,Female,1969-10-13,1969,W1A 7DG,0814238752,Acme Corp,C3968,Corporate,S55777,Silver,Executive,Active,2019-11-18,,2019-06-07,2028-03-16,5
UM0000644,Noah Robinson,Noah,Robinson,Male,1989-03-29,1989,SE1 8EP,7258176429,GlobalHealth Ltd,C9042,Family,S23316,Enhanced,Enhanced,Active,2012-08-24,,2011-12-21,2016-11-26,13
UM0000645,Sophie Smith,Sophie,Smith,Female,2000-02-10,2000,EN1 2CA,9307482712,TrustHealth Ltd,C6563,Corporate,S58552,Standard,Executive,Active,2023-06-24,,2022-08-14,2032-02-06,2
UM0000646,Alfie Thomas,Alfie,Thomas,Male,1984-12-11,1984,SW3 8DX,4155467424,Healthcare Co,C3831,Family,S37282,Silver,Executive,Active,2018-08-27,,2017-10-14,2026-01-17,7
UM0000647,Isla Robinson,Isla,Robinson,Female,1992-04-28,1992,NW1 5EO,1626095452,Healthcare Co,C2737,Family,S42995,Executive,Enhanced,Lapsed,2023-05-23,2024-09-07,2023-03-21,2025-06-08,2
UM0000648,Freddie Brown,Freddie,Brown,Male,1971-07-05,1971,SE1 4IC,9832432683,GlobalHealth Ltd,C9197,Family,S47175,Standard,Enhanced,Active,2017-06-18,,2016-12-12,2026-08-11,8
UM0000649,Evie Harris,Evie,Harris,Female,1999-12-06,1999,N1 5DV,3381245928,GlobalHealth Ltd,C7167,Individual,S27023,Platinum,Enhanced,Active,2018-11-23,,2018-11-20,2019-12-07,6
UM0000650,Ava Evans,Ava,Evans,Female,1974-01-16,1974,UB1 8VU,3559108953,TrustHealth Ltd,C6925,Individual,S25789,Silver,Executive,Active,2022-01-01,,2021-03-07,2026-05-09,3
UM0000651,Alfie Taylor,Alfie,Taylor,Male,1969-04-27,1969,SE1 7VI,3561820789,Healthcare Co,C5933,Corporate,S50487,Gold,Standard,Active,2018-06-06,,2018-02-11,2024-12-02,7
UM0000652,Evie Wright,Evie,Wright,Female,1998-03-09,1998,SW1A 7HU,5221571167,Mercer Group,C1202,Individual,S33466,Silver,Executive,Active,2010-04-20,,2009-09-29,2019-01-06,15
UM0000653,Isla Davies,Isla,Davies,Female,1985-08-27,1985,EN1 3OV,2778342688,Acme Corp,C1592,Family,S86451,Executive,Executive,Active,2019-10-03,,2018-10-09,2026-07-14,6
UM0000654,George Jones,George,Jones,Male,1962-12-13,1962,SW3 6NG,5328664768,Acme Corp,C1537,Individual,S46228,Gold,Enhanced,Lapsed,2023-05-20,2028-09-10,2022-09-27,2031-02-05,2
UM0000655,Mia Smith,Mia,Smith,Female,1990-12-02,1990,HA1 2DK,6890364365,GlobalHealth Ltd,C2320,Individual,S86880,Standard,Executive,Active,2014-03-23,,2013-11-27,2016-08-04,11
UM0000656,Jacob White,Jacob,White,Male,1957-12-12,1957,SW1A 5AW,5481839332,Mercer Group,C2862,Family,S52860,Gold,Standard,Lapsed,2022-02-07,2029-07-11,2021-06-26,2029-05-10,3
UM0000657,Grace Jones,Grace,Jones,Female,1965-08-12,1965,SE1 9JB,8871270957,Acme Corp,C1103,Corporate,S15493,Enhanced,Standard,Active,2012-05-12,,2011-05-24,2019-04-09,13
UM0000658,Oliver Jones,Oliver,Jones,Male,1998-01-15,1998,SE1 1SS,3789222170,Mercer Group,C9816,Corporate,S14586,Platinum,Executive,Active,2014-06-19,,2013-10-24,2019-04-16,11
UM0000659,Oliver Brown,Oliver,Brown,Male,1981-04-25,1981,M1 2JR,9868034136,TrustHealth Ltd,C4206,Family,S96024,Gold,Enhanced,Active,2020-12-04,,2020-10-21,2029-02-05,4
UM0000660,Isla Taylor,Isla,Taylor,Female,1964-08-01,1964,SW3 4RG,5840253770,GlobalHealth Ltd,C8036,Corporate,S93623,Standard,Enhanced,Active,2019-09-17,,2018-11-11,2021-06-02,6
UM0000661,William Smith,William,Smith,Male,1981-10-18,1981,EC1A 8ME,8731625085,BlueShield UK,C3888,Individual,S34104,Gold,Enhanced,Active,2020-12-16,,2020-08-27,2025-03-14,4
UM0000662,James Thompson,James,Thompson,Male,1989-04-12,1989,B1 3MG,5754490811,Healthcare Co,C9830,Family,S54083,Executive,Standard,Active,2013-06-14,,2012-11-17,2016-11-15,12
UM0000663,Thomas Harris,Thomas,Harris,Male,2006-11-08,2006,KT1 3IR,9530629738,BlueShield UK,C9687,Corporate,S58157,Silver,Enhanced,Active,2022-05-17,,2021-09-25,2026-06-08,3
UM0000664,Lily Smith,Lily,Smith,Female,1977-12-17,1977,HA1 7IV,9228287712,Acme Corp,C4085,Individual,S36764,Bronze,Executive,Active,2018-08-26,,2018-02-15,2024-08-11,7
UM0000665,Harry Robinson,Harry,Robinson,Male,1964-12-21,1964,HA1 7YA,6860055437,GlobalHealth Ltd,C5578,Corporate,S38396,Standard,Standard,Active,2023-06-21,,2022-10-05,2029-08-13,2
UM0000666,Harry Harris,Harry,Harris,Male,1986-12-08,1986,W2 8TC,9738841655,GlobalHealth Ltd,C8117,Individual,S76221,Platinum,Enhanced,Active,2021-06-08,,2020-11-09,2024-12-06,4
UM0000667,Jack Williams,Jack,Williams,Male,1975-09-25,1975,M1 8TR,9311098148,Acme Corp,C3097,Individual,S21681,Bronze,Enhanced,Active,2018-11-26,,2018-07-01,2025-02-09,6
UM0000668,George Jones,George,Jones,Male,1975-12-24,1975,W1A 1SG,3881074551,TrustHealth Ltd,C4849,Family,S19577,Bronze,Enhanced,Active,2017-01-25,,2016-08-19,2020-02-03,8
UM0000669,Harry Williams,Harry,Williams,Male,1972-12-15,1972,M1 9XR,9258607013,Healthcare Co,C6675,Corporate,S95408,Enhanced,Enhanced,Active,2020-12-01,,2020-01-24,2024-01-03,4
UM0000670,Poppy Smith,Poppy,Smith,Female,1996-06-24,1996,NW1 9GA,5025229528,Mercer Group,C3142,Individual,S29836,Bronze,Executive,Lapsed,2015-09-27,2020-03-17,2015-07-30,2020-08-19,10
UM0000671,George Johnson,George,Johnson,Male,1955-12-24,1955,W2 5RC,6584687628,TrustHealth Ltd,C6568,Family,S84418,Platinum,Enhanced,Active,2011-10-05,,2010-12-29,2014-11-24,14
UM0000672,Isla Williams,Isla,Williams,Female,1987-01-01,1987,SW3 3UF,9803988751,BlueShield UK,C6232,Corporate,S71812,Silver,Standard,Active,2010-05-23,,2009-10-04,2017-11-20,15
UM0000673,Isabella Evans,Isabella,Evans,Female,1982-05-12,1982,EN1 0FF,3494946843,Healthcare Co,C6533,Individual,S40987,Executive,Executive,Active,2017-04-19,,2016-12-16,2018-03-03,8
UM0000674,Harry Robinson,Harry,Robinson,Male,1997-12-22,1997,N1 5ZS,5913242577,TrustHealth Ltd,C5647,Family,S57759,Gold,Executive,Active,2021-04-04,,2020-04-28,2024-06-08,4
UM0000675,Grace Jones,Grace,Jones,Female,1980-02-11,1980,HA1 7FE,7968291172,Acme Corp,C8770,Individual,S52642,Silver,Executive,Active,2021-11-01,,2021-03-04,2024-01-05,3
UM0000676,Ava Thomas,Ava,Thomas,Female,1975-06-15,1975,SW1A 0DP,0002125396,Acme Corp,C7944,Individual,S37364,Enhanced,Executive,Active,2018-05-18,,2018-03-26,2026-08-26,7
UM0000677,Thomas Thomas,Thomas,Thomas,Male,1956-03-26,1956,EN1 6QF,1391098606,Mercer Group,C1493,Family,S75304,Gold,Enhanced,Active,2013-01-14,,2012-02-22,2015-02-23,12
UM0000678,Olivia Evans,Olivia,Evans,Female,1984-12-26,1984,W2 7WO,3488168324,Acme Corp,C3698,Individual,S36452,Platinum,Enhanced,Active,2016-10-18,,2016-04-06,2021-08-25,9
UM0000679,James Taylor,James,Taylor,Male,2001-07-17,2001,W2 9CC,0859165256,Mercer Group,C1531,Individual,S55411,Standard,Enhanced,Active,2011-02-11,,2010-12-14,2018-10-30,14
UM0000680,Lily Taylor,Lily,Taylor,Female,1979-09-22,1979,SW1A 2ZP,7140683269,Healthcare Co,C2634,Individual,S40569,Enhanced,Enhanced,Active,2019-04-28,,2018-08-06,2026-05-26,6
UM0000681,Charlotte Wilson,Charlotte,Wilson,Female,1983-03-27,1983,SW3 3WC,9740207936,BlueShield UK,C5417,Individual,S74639,Executive,Executive,Active,2022-08-23,,2021-12-06,2031-11-04,3
UM0000682,Charlie Robinson,Charlie,Robinson,Male,1979-07-20,1979,EN1 7PL,8192802255,Mercer Group,C4084,Corporate,S25680,Silver,Standard,Lapsed,2017-12-22,2020-10-18,2017-02-26,2019-01-15,7
UM0000683,Sophia Harris,Sophia,Harris,Female,1985-08-28,1985,LS1 8XX,3490355420,Mercer Group,C3562,Family,S31408,Executive,Executive,Pending,2010-04-06,,2009-05-17,2013-11-08,15
UM0000684,William Williams,William,Williams,Male,1985-10-07,1985,SE1 0YL,9783096929,Healthcare Co,C5636,Corporate,S62654,Standard,Standard,Active,2024-02-12,,2023-04-10,2027-06-14,1
UM0000685,Noah Wilson,Noah,Wilson,Male,1990-03-21,1990,UB1 2GA,8900573781,BlueShield UK,C9287,Individual,S17575,Gold,Standard,Active,2022-06-02,,2022-01-10,2028-09-26,3
UM0000686,Grace Williams,Grace,Williams,Female,1983-05-15,1983,W1A 6FG,2971016301,Mercer Group,C9783,Family,S40498,Gold,Executive,Active,2019-01-14,,2018-04-22,2025-06-13,6
UM0000687,Ella Thompson,Ella,Thompson,Female,1965-11-26,1965,B1 2UI,3219881587,Healthcare Co,C9600,Family,S95188,Bronze,Executive,Active,2011-10-08,,2011-02-28,2016-08-26,14
UM0000688,Lily Davies,Lily,Davies,Female,1986-05-16,1986,LS1 3RI,2042231157,BlueShield UK,C2888,Individual,S25839,Bronze,Standard,Active,2020-12-11,,2020-01-06,2027-06-21,4
UM0000689,Jack Brown,Jack,Brown,Male,1969-11-26,1969,SE1 2OW,5453545771,BlueShield UK,C1576,Family,S43976,Bronze,Standard,Lapsed,2021-09-08,2029-01-08,2021-06-14,2027-12-10,4
UM0000690,Poppy Robinson,Poppy,Robinson,Female,1985-03-29,1985,NW1 7LW,7289606163,Healthcare Co,C5124,Individual,S14456,Bronze,Standard,Active,2014-08-17,,2013-10-10,2021-11-14,11
UM0000691,Evie Wright,Evie,Wright,Female,1979-04-07,1979,M1 4FG,0600236488,TrustHealth Ltd,C8906,Corporate,S55940,Bronze,Standard,Active,2022-05-01,,2022-04-18,2026-07-09,3
UM0000692,Freddie Williams,Freddie,Williams,Male,1992-07-21,1992,B1 8XM,9820754756,Mercer Group,C9966,Family,S47323,Standard,Enhanced,Active,2023-01-27,,2022-05-07,2030-03-25,2
UM0000693,Ava Jones,Ava,Jones,Female,1971-09-24,1971,E1 9WS,3226531576,Acme Corp,C3746,Corporate,S64374,Gold,Enhanced,Active,2022-06-22,,2022-05-07,2023-05-18,3
UM0000694,Ava White,Ava,White,Female,1984-07-19,1984,SW1A 7MO,3435462887,GlobalHealth Ltd,C6722,Corporate,S28579,Bronze,Executive,Lapsed,2018-09-21,2026-07-25,2018-07-10,2022-11-20,7
UM0000695,Arthur Robinson,Arthur,Robinson,Male,1977-07-28,1977,M1 3KR,7610000942,BlueShield UK,C7580,Corporate,S88577,Executive,Executive,Active,2013-11-18,,2013-01-24,2017-01-02,11
UM0000696,Grace Thomas,Grace,Thomas,Female,1991-03-23,1991,LS1 6RS,0466047945,Mercer Group,C5531,Family,S59163,Standard,Enhanced,Active,2016-01-29,,2015-08-30,2019-09-02,9
UM0000697,Oscar Taylor,Oscar,Taylor,Male,1996-07-01,1996,BR1 2PH,0527354691,TrustHealth Ltd,C6283,Family,S76932,Gold,Enhanced,Active,2017-04-30,,2017-03-31,2019-02-17,8
UM0000698,Thomas Johnson,Thomas,Johnson,Male,1978-10-11,1978,KT1 9QZ,0739619870,GlobalHealth Ltd,C1875,Corporate,S65514,Bronze,Executive,Active,2019-03-19,,2018-06-23,2022-11-16,6
UM0000699,Poppy Johnson,Poppy,Johnson,Female,1969-02-08,1969,KT1 6SF,7893428073,BlueShield UK,C3193,Individual,S72021,Enhanced,Standard,Active,2016-03-26,,2015-08-11,2016-11-16,9
UM0000700,Ella Davies,Ella,Davies,Female,1990-01-11,1990,EN1 1TC,8331955304,BlueShield UK,C5235,Family,S78871,Standard,Standard,Active,2016-10-09,,2016-02-07,2020-11-03,9
UM0000701,Mia Thomas,Mia,Thomas,Female,1980-06-07,1980,LS1 2PE,8493789997,Healthcare Co,C5849,Corporate,S16152,Executive,Enhanced,Lapsed,2012-07-07,2019-02-23,2011-07-16,2014-11-27,13
UM0000702,Evie Thompson,Evie,Thompson,Female,1967-03-07,1967,SW1A 3RZ,2272465718,GlobalHealth Ltd,C9225,Family,S53773,Gold,Executive,Active,2010-01-22,,2009-04-15,2014-10-26,15
UM0000703,Oliver Jones,Oliver,Jones,Male,1988-10-08,1988,B1 9KA,8471529266,TrustHealth Ltd,C1117,Corporate,S69122,Enhanced,Enhanced,Active,2012-03-04,,2012-01-15,2019-08-19,13
UM0000704,Charlie White,Charlie,White,Male,1981-09-05,1981,W2 1VF,6450092473,Healthcare Co,C6274,Individual,S37008,Silver,Executive,Active,2021-05-29,,2021-02-15,2025-09-29,4
UM0000705,Oliver Taylor,Oliver,Taylor,Male,1972-05-03,1972,SW3 3SZ,2226894634,Acme Corp,C2043,Individual,S41990,Platinum,Executive,Lapsed,2013-06-09,2017-07-18,2013-04-02,2021-01-15,12
UM0000706,Isabella Thomas,Isabella,Thomas,Female,1974-06-19,1974,KT1 6YP,6340286809,Acme Corp,C7276,Corporate,S89110,Gold,Standard,Active,2011-10-05,,2011-04-28,2017-08-28,14
UM0000707,Sophie Johnson,Sophie,Johnson,Female,1977-12-12,1977,W2 5JC,8433515764,Mercer Group,C5087,Family,S85001,Enhanced,Executive,Lapsed,2019-07-23,2020-12-12,2018-11-04,2026-02-27,6
UM0000708,Evie Thomas,Evie,Thomas,Female,1977-12-21,1977,M1 0FT,2389623587,BlueShield UK,C2934,Individual,S63896,Standard,Enhanced,Active,2014-10-06,,2014-06-04,2019-11-10,11
UM0000709,Isabella Jones,Isabella,Jones,Female,1983-11-29,1983,SW3 7PP,1237126604,TrustHealth Ltd,C3047,Family,S86040,Platinum,Executive,Active,2019-07-24,,2018-10-22,2024-03-22,6
UM0000710,William Thomas,William,Thomas,Male,1981-11-04,1981,B1 4SI,6318425717,TrustHealth Ltd,C5794,Family,S51876,Platinum,Executive,Active,2014-11-30,,2014-11-13,2023-09-04,10
UM0000711,Emily Davies,Emily,Davies,Female,1966-11-02,1966,E1 8YP,7268353654,TrustHealth Ltd,C3505,Corporate,S76627,Enhanced,Executive,Active,2010-05-11,,2010-01-12,2015-01-25,15
UM0000712,Oliver Smith,Oliver,Smith,Male,1990-01-30,1990,SW3 3GZ,7594819708,GlobalHealth Ltd,C8330,Corporate,S81537,Bronze,Standard,Active,2020-08-18,,2020-06-05,2024-12-09,5
